location,year_month,daily_vaccinations,daily_vaccinations_raw,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
Australia,2021-02,33876.0,34610.0,33867.0,0.016125,161.75,34630.0,34618.0,12.0,,0.13,0.13,0.0,
Australia,2021-03,556918.0,709700.0,512762.0,0.06319354838709677,686.2258064516129,744330.0,671606.0,72724.0,,2.84,2.57,0.28,
Australia,2021-04,1478905.0,1490514.0,1281037.0,0.1631,1883.2,2234844.0,1976315.0,258529.0,,8.54,7.55,0.99,
Australia,2021-05,2044110.0,2127895.0,1793526.0,0.22106451612903225,2518.8064516129034,4362739.0,3856485.0,506254.0,,16.67,14.73,1.93,
Australia,2021-06,3325595.0,3379797.0,2342231.0,0.29823333333333335,4234.733333333334,7742536.0,6109102.0,1633434.0,,29.58,23.34,6.24,
Australia,2021-07,4357441.0,4591535.0,2181924.0,0.2689354838709677,5369.677419354839,12334071.0,8407015.0,3927056.0,,47.12,32.12,15.0,
Australia,2021-08,7076785.0,7329051.0,3706642.0,0.4567096774193548,8720.612903225807,19663122.0,12293802.0,7369320.0,,75.11,46.96,28.15,
Australia,2021-09,8272203.0,8372766.0,4386425.0,0.5586,10533.6,28035888.0,16649549.0,11386339.0,,107.1,63.6,43.5,
Australia,2021-10,7985714.0,7567203.0,2701650.0,0.33296774193548384,9840.709677419354,35603091.0,19052562.0,16529442.0,21087.0,136.01,72.78,63.14,0.08
Australia,2021-11,3931646.0,3679863.0,1034718.0,0.1318,5006.366666666667,39282954.0,20025197.0,18808812.0,448945.0,150.06,76.5,71.85,1.72
Australia,2021-12,3308547.0,3153725.0,462882.0,0.05703225806451613,4077.032258064516,42580539.0,20444346.0,19755837.0,2380356.0,162.66,78.1,75.47,9.09
Australia,2022-01,6892315.0,7098020.0,1155914.0,0.14238709677419353,8493.354838709678,49866290.0,21683520.0,20211402.0,7971368.0,190.49,82.83,77.21,30.45
Australia,2022-02,4561982.0,4199217.0,452238.0,0.061714285714285715,6224.0,54065507.0,22055898.0,20483240.0,11526369.0,206.53,84.26,78.25,44.03
Australia,2022-03,2371376.0,2297185.0,165752.0,0.02035483870967742,2922.1612903225805,56362692.0,22210293.0,21240452.0,12911947.0,215.31,84.85,81.14,49.32
Australia,2022-04,1328429.0,1212934.0,23955.0,0.0030666666666666668,1691.6,57575626.0,22231734.0,21527099.0,13769753.0,219.94,84.93,82.24,52.6
Australia,2022-05,1558952.0,1626385.0,0.0,0.0,1921.0645161290322,59202011.0,22231734.0,21614599.0,15267312.0,226.16,84.93,82.57,58.32
Australia,2022-06,1107815.0,1064844.0,0.0,0.0,1410.6666666666667,60277104.0,22231734.0,21647523.0,16253282.0,230.26,84.93,82.7,62.09
Australia,2022-07,1929595.0,1978162.0,0.0,0.0,2377.8064516129034,62255266.0,22231734.0,21647523.0,18128815.0,237.82,84.93,82.7,69.25
Australia,2022-08,909358.0,547156.0,0.0,0.0,1120.6129032258063,63011373.0,22231734.0,21647523.0,18908728.0,240.71,84.93,82.7,72.23
Australia,2022-09,72210.0,0.0,0.0,0.0,92.0,63011373.0,22231734.0,21647523.0,19145155.0,240.71,84.93,82.7,73.14
Australia,2022-10,74617.0,0.0,0.0,0.0,92.0,63011373.0,22231734.0,21647523.0,19145155.0,240.71,84.93,82.7,73.14
Australia,2022-11,264241.0,0.0,0.0,0.0,336.46666666666664,63406631.0,22231734.0,21647523.0,19514697.0,242.22,84.93,82.7,74.55
Australia,2022-12,166038.0,0.0,0.0,0.0,204.61290322580646,63583562.0,22231734.0,21647523.0,19691609.0,242.89,84.93,82.7,75.22
Australia,2023-01,76318.0,0.0,0.0,0.0,94.03225806451613,63668170.0,22231734.0,21647523.0,19776130.0,243.22,84.93,82.7,75.55
Australia,2023-02,842555.0,0.0,0.0,0.0,1149.25,63681652.0,22231734.0,21647523.0,19790466.0,243.27,84.93,82.7,75.6
Australia,2023-03,1083739.0,0.0,0.0,0.0,1335.1290322580646,65492360.0,22231734.0,21647523.0,19790466.0,250.19,84.93,82.7,75.6
Australia,2023-04,794700.0,0.0,0.0,0.0,1012.0,65492360.0,22231734.0,21647523.0,19790466.0,250.19,84.93,82.7,75.6
Australia,2023-05,821190.0,0.0,0.0,0.0,1012.0,65492360.0,22231734.0,21647523.0,19790466.0,250.19,84.93,82.7,75.6
Australia,2023-06,794700.0,0.0,0.0,0.0,1012.0,65492360.0,22231734.0,21647523.0,19790466.0,250.19,84.93,82.7,75.6
Australia,2023-07,421669.0,0.0,0.0,0.0,519.516129032258,68247343.0,22231734.0,21647523.0,19790466.0,260.71,84.93,82.7,75.6
Australia,2023-08,173327.0,0.0,0.0,0.0,213.25806451612902,68480571.0,22231734.0,21647523.0,19790466.0,261.6,84.93,82.7,75.6
Australia,2023-09,133279.0,0.0,0.0,0.0,169.33333333333334,68653247.0,22231734.0,21647523.0,19790466.0,262.26,84.93,82.7,75.6
Australia,2023-10,229100.0,0.0,0.0,0.0,282.4193548387097,68770769.0,22231734.0,21647523.0,19790466.0,262.71,84.93,82.7,75.6
Australia,2023-11,255030.0,0.0,0.0,0.0,325.0,68770769.0,22231734.0,21647523.0,19790466.0,262.71,84.93,82.7,75.6
Australia,2023-12,417862.0,0.0,0.0,0.0,514.6774193548387,69686752.0,22231734.0,21647523.0,19790466.0,266.21,84.93,82.7,75.6
China,2020-12,3000000.0,0.0,0.0,0.0,123.29411764705883,4500000.0,,,,0.32,,,
China,2021-01,19172999.0,0.0,0.0,0.0,433.7741935483871,24000000.0,,,,1.68,,,
China,2021-02,27514765.0,0.0,0.0,0.0,689.1785714285714,52520000.0,,,,3.68,,,
China,2021-03,55563166.0,39358000.0,0.0,0.0,1257.0,119821000.0,,,,8.4,,,
China,2021-04,132826857.0,145243000.0,0.0,0.0,3105.2,265064000.0,,,,18.59,,,
China,2021-05,364184997.0,396404000.0,0.0,0.0,8238.967741935483,661468000.0,,,,46.39,,,
China,2021-06,581455146.0,583207000.0,117012980.0,0.2733333333333333,13592.833333333334,1244675000.0,622000000.0,,,87.29,43.62,,
China,2021-07,416799142.0,408144000.0,181370119.0,0.41,9429.258064516129,1652819000.0,622000000.0,,,115.92,43.62,,
China,2021-08,428975427.0,414770000.0,173216132.0,0.3916129032258064,9704.677419354839,2067589000.0,1072500000.0,889439000.0,,145.0,75.22,62.38,
China,2021-09,172708569.0,143863000.0,42817624.0,0.09993333333333335,4037.366666666667,2211452000.0,1100842000.0,1047872000.0,,155.09,77.2,73.49,
China,2021-10,56364715.0,62620000.0,62078988.0,0.14,1275.1935483870968,2274072000.0,1100842000.0,1070386000.0,,159.48,77.2,75.07,
China,2021-11,222856428.0,233903000.0,51228776.0,0.11946666666666667,5209.666666666667,2507975000.0,1225000000.0,1110506000.0,65730000.0,175.89,85.91,77.88,4.61
China,2021-12,313936999.0,327357000.0,27222670.0,0.06170967741935484,7102.258064516129,2835332000.0,1259967000.0,1207413000.0,120580000.0,198.85,88.36,84.68,8.46
China,2022-01,195840001.0,165200000.0,6578278.0,0.014870967741935484,4430.548387096775,3000532000.0,1266070000.0,1227387000.0,331000000.0,210.43,88.79,86.08,23.21
China,2022-02,121300713.0,129313000.0,3354067.0,0.008285714285714285,3038.25,3129845000.0,1269302000.0,1234540000.0,554728000.0,219.5,89.02,86.58,38.9
China,2022-03,145734714.0,141029000.0,7452134.0,0.016709677419354838,3297.032258064516,3270874000.0,1277709000.0,1242281000.0,694936000.0,229.39,89.61,87.12,48.74
China,2022-04,79238716.0,73654000.0,7817632.0,0.018400000000000003,1852.5,3344528000.0,1284935000.0,1249688000.0,750189000.0,234.56,90.11,87.64,52.61
China,2022-05,39670288.0,36786000.0,5312330.0,0.011903225806451612,897.3870967741935,3381314000.0,1289584000.0,1255732000.0,774679000.0,237.14,90.44,88.07,54.33
China,2022-06,22472288.0,21308000.0,4142547.0,0.009733333333333333,525.3333333333334,3402622000.0,1294045000.0,1260501000.0,790025000.0,238.63,90.75,88.4,55.41
China,2022-07,20603572.0,21047000.0,5502294.0,0.012548387096774194,466.0,3423669000.0,1298636000.0,1264901000.0,797985000.0,240.11,91.08,88.71,55.96
China,2022-08,10854714.0,9109000.0,2742131.0,0.006129032258064516,245.5483870967742,3432778000.0,1301392000.0,1268285000.0,802174000.0,240.75,91.27,88.95,56.26
China,2022-09,4491430.0,4133000.0,841388.0,0.0017333333333333335,105.0,3436911000.0,1302773000.0,1271408000.0,807130000.0,241.04,91.37,89.17,56.61
China,2022-10,3004430.0,2891000.0,566029.0,0.001,68.03225806451613,3439802000.0,1302773000.0,1271711000.0,807832000.0,241.24,91.37,89.19,56.65
China,2022-11,3836858.0,3947000.0,953287.0,0.002,89.7,3443749000.0,1304631000.0,1272830000.0,811176000.0,241.52,91.5,89.27,56.89
